Ingredient,Matched_GSRS_Name,UNII,Substance_Class,GSRS_Status,Query_Used,Match_Type,All_Classes,Formula,SMILES
CYANOCOBALAMIN,Cyanocobalamin,P6YC3EG204,chemical,approved,CYANOCOBALAMIN,exact_full,chemical,C62H88N13O14P.CN.Co,Cc1cc2c(cc1C)n(cn2)[C@@H]3[C@@H]([C@@H]([C@@H](CO)O3)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@]\4(C)[C@@H](CC(=O)N)C5[C@@]6(C)[C@@](C)(CC(=O)N)[C@H](CCC(=O)N)C(=N6)/C(=C7/[C@@](C)(CC(=O)N)[C@H](CCC(=O)N)C(=N7)/C=C8/C(C)(C)[C@H](CCC(=O)N)C(=N8)/C(=C4\[N-]5)/C)/C)O.[C-]#N.[Co+3]
CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE HYDROCHLORIDE,0VE05JYS2P,chemical,approved,CYCLOBENZAPRINE HYDROCHLORIDE,exact_full,chemical,C20H21N.ClH,CN(C)CCC=C1c2ccccc2C=Cc3ccccc31.Cl
CYCLOPENTOLATE HYDROCHLORIDE,CYCLOPENTOLATE HYDROCHLORIDE,736I6971TE,chemical,approved,CYCLOPENTOLATE HYDROCHLORIDE,exact_full,chemical,C17H25NO3.ClH,CN(C)CCOC(=O)C(c1ccccc1)C2(CCCC2)O.Cl
CYCLOPENTOLATE HYDROCHLORIDE; PHENYLEPHRINE HYDROCHLORIDE,CYCLOPENTOLATE HYDROCHLORIDE | PHENYLEPHRINE HYDROCHLORIDE,736I6971TE | 04JA59TNSJ,chemical,approved | approved,CYCLOPENTOLATE HYDROCHLORIDE; PHENYLEPHRINE HYDROCHLORIDE,"combination(exact_full,exact_full)",chemical,,
CYCLOPHOSPHAMIDE,Cyclophosphamide,8N3DW7272P,chemical,approved,CYCLOPHOSPHAMIDE,exact_full,chemical,C7H15Cl2N2O2P.H2O,C1CNP(=O)(N(CCCl)CCCl)OC1.O
CYCLOSERINE,CYCLOSERINE,95IK5KI84Z,chemical,approved,CYCLOSERINE,exact_full,chemical,C3H6N2O2,C1[C@H](C(=O)NO1)N
CYCLOSPORINE,Cyclosporine,83HN0GTJ6D,chemical,approved,CYCLOSPORINE,exact_full,chemical,C62H111N11O12,C/C=C/C[C@@H](C)[C@H]([C@@]1([H])C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C)O
CYPROHEPTADINE HYDROCHLORIDE,Cyproheptadine hydrochloride,NJ82J0F8QC,chemical,approved,CYPROHEPTADINE HYDROCHLORIDE,exact_full,chemical,2C21H21N.2ClH.3H2O,CN1CCC(=C2c3ccccc3C=Cc4ccccc42)CC1.CN1CCC(=C2c3ccccc3C=Cc4ccccc42)CC1.Cl.Cl.O.O.O
CYSTEAMINE BITARTRATE,CYSTEAMINE BITARTRATE,QO84GZ3TST,chemical,approved,CYSTEAMINE BITARTRATE,exact_full,chemical,C4H6O6.C2H7NS,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.C(CS)N
CYSTEAMINE HYDROCHLORIDE,CYSTEAMINE HYDROCHLORIDE,IF1B771SVB,chemical,approved,CYSTEAMINE HYDROCHLORIDE,exact_full,chemical,C2H7NS.ClH,C(CS)N.Cl
CYSTEINE HYDROCHLORIDE,Cysteine hydrochloride,ZT934N0X4W,chemical,approved,CYSTEINE HYDROCHLORIDE,exact_full,chemical,C3H7NO2S.ClH.H2O,C([C@@H](C(=O)O)N)S.Cl.O
