Ingredient,Trade_Name(s),Disease_Category,Duration_Class,DF_Route(s),Earliest_Approval,Latest_Approval,NDA_Count,ANDA_Count,Generic_Competitor_Count,Patent_Count,Latest_Patent_Expiry,Patent_Expiry_Year,Has_Blocking_Exclusivity,Exclusivity_Codes,Latest_Exclusivity_Date,Applicant(s)
TELMISARTAN,MICARDIS | TELMISARTAN,Cardiovascular,CHRONIC,TABLET;ORAL,1998-11-10,2025-01-15,1,16,48,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS | AUROBINDO PHARMA LTD | BOEHRINGER INGELHEIM | CADILA PHARMACEUTICALS LTD | CHARTWELL RX SCIENCES LLC | GLENMARK PHARMACEUTICALS LTD | INVENTIA HEALTHCARE LTD | JUBILANT GENERICS LTD | MACLEODS PHARMACEUTICALS LTD | MANKIND PHARMA LTD | MICRO LABS LTD | MYLAN PHARMACEUTICALS INC | PRINSTON PHARMACEUTICAL INC | SANDOZ INC | TORRENT PHARMACEUTICALS LTD | ZYDUS PHARMACEUTICALS USA INC
LABETALOL HYDROCHLORIDE,LABETALOL HYDROCHLORIDE | LABETALOL HYDROCHLORIDE IN DEXTROSE | LABETALOL HYDROCHLORIDE IN SODIUM CHLORIDE,Cardiovascular,CHRONIC,INJECTABLE;INJECTION | SOLUTION;INTRAVENOUS | TABLET;ORAL,1998-08-03,2026-03-26,1,20,46,0,,,No,,,AIPING PHARMACEUTICAL INC | AMNEAL EU LTD | ANDAS 5 HOLDING LLC | APPCO PHARMA LLC | BAXTER HEALTHCARE CORP | CADILA PHARMACEUTICALS LTD | CAPLIN STERILES LTD | EPIC PHARMA LLC | GLAND PHARMA LTD | HERITAGE PHARMA LABS INC | HIBROW HEALTHCARE PRIVATE LTD | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | MACLEODS PHARMACEUTICALS LTD | PH HEALTH LTD | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | WATSON LABORATORIES INC | ZYDUS PHARMACEUTICALS USA INC
IRBESARTAN,AVAPRO | IRBESARTAN,Cardiovascular,CHRONIC,TABLET;ORAL,1997-09-30,2025-11-04,1,15,45,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS OF NEW YORK LLC | AUROBINDO PHARMA LTD | CHARTWELL MOLECULAR HOLDINGS LLC | HETERO LABS LTD UNIT V | HISUN PHARMACEUTICAL (HANGZHOU) CO LTD | JUBILANT GENERICS LTD | MACLEODS PHARMACEUTICALS LTD | MSN LABORATORIES PRIVATE LTD | PRINSTON PHARMACEUTICAL INC | SANDOZ INC | SANOFI AVENTIS US LLC | SCIEGEN PHARMACEUTICALS INC | TEVA PHARMACEUTICALS USA | UNICHEM LABORATORIES LTD | ZYDUS PHARMACEUTICALS USA INC
BUMETANIDE,BUMETANIDE | BUMEX | ENBUMYST,Cardiovascular,CHRONIC,INJECTABLE;INJECTION | SPRAY;NASAL | TABLET;ORAL,1983-02-28,2026-02-26,2,20,44,4,2045-05-14,2045,No,,,AMNEAL PHARMACEUTICALS CO GMBH | ANTHEA PHARMA PRIVATE LTD | APPCO PHARMA LLC | ASPIRO PHARMA LTD | CORSTASIS THERAPEUTICS INC | GLAND PHARMA LTD | HERITAGE PHARMA LABS INC | JUBILANT GENERICS LTD | LUPIN LTD | MANKIND PHARMA LTD | MSN LABORATORIES PRIVATE LTD | QILU PHARMACEUTICAL HAINAN CO LTD | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | SAGENT PHARMACEUTICALS | SANDOZ INC | TARO PHARMACEUTICAL INDUSTRIES LTD | UPSHER SMITH LABORATORIES LLC | VALIDUS PHARMACEUTICALS LLC | WEST-WARD PHARMACEUTICALS INTERNATIONAL LTD | ZYDUS PHARMACEUTICALS USA INC
CLONIDINE HYDROCHLORIDE,CLONIDINE HYDROCHLORIDE | DURACLON | JAVADIN | ONYDA XR,Cardiovascular,CHRONIC,"INJECTABLE;INJECTION | SOLUTION;ORAL | SUSPENSION, EXTENDED RELEASE;ORAL | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",1986-12-16,2026-04-06,3,22,43,5,2042-07-15,2042,No,,,ACTAVIS ELIZABETH LLC | ACTAVIS ELIZABETH LLC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC | AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | AZURITY PHARMACEUTICALS INC | CHARTWELL MOLECULES LLC | CHARTWELL RX SCIENCES LLC | FRESENIUS KABI USA LLC | HIKMA FARMACEUTICA (PORTUGAL) SA | IMPAX LABORATORIES INC | JUBILANT GENERICS LTD | MYLAN INSTITUTIONAL LLC | NOVAST LABORATORIES LTD | PRINSTON PHARMACEUTICAL INC | SOMERSET THERAPEUTICS LLC | TP ANDA HOLDINGS LLC | TRIS PHARMA INC | UNICHEM LABORATORIES LTD | XGEN PHARMACEUTICALS DJB INC | XIAMEN LP PHARMACUETICAL CO LTD | YUNG SHIN PHARMACEUTICAL INDUSTRIAL CO LTD | ZYDUS PHARMACEUTICALS USA INC
SACUBITRIL; VALSARTAN,ENTRESTO | ENTRESTO SPRINKLE | SACUBITRIL AND VALSARTAN,Cardiovascular,CHRONIC,"CAPSULE, PELLETS;ORAL | TABLET;ORAL",2015-07-07,2026-01-20,2,14,42,9,2037-02-02,2037,No,,,ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | BIOCON PHARMA LTD | CRYSTAL PHARMACEUTICAL SUZHOU CO LTD | DR REDDYS LABORATORIES LTD | HETERO LABS LTD UNIT III | LAURUS LABS LTD | LUPIN INC | MACLEODS PHARMACEUTICALS LTD | MSN LABORATORIES PRIVATE LTD | NOVARTIS PHARMACEUTICALS CORP | NOVUGEN PHARMA SDN BHD | SOMERSET THERAPEUTICS LLC | TORRENT PHARMACEUTICALS LTD | ZYDUS PHARMACEUTICALS USA INC
VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE | VERELAN | VERELAN PM,Cardiovascular,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | INJECTABLE;INJECTION | SOLUTION;INTRAVENOUS | TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",1984-03-30,2025-11-24,3,25,41,0,,,No,,,ASPIRO PHARMA LTD | AZURITY PHARMACEUTICALS INC | CADILA PHARMACEUTICALS LTD | CAPLIN STERILES LTD | EUGIA PHARMA SPECIALITIES LTD | EXELA PHARMA SCIENCES LLC | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | GLENMARK PHARMACEUTICALS LTD | HERITAGE PHARMACEUTICALS INC DBA AVET PHARMACEUTICALS INC | HOSPIRA INC | MANKIND PHARMA LTD | MICRO LABS LTD | MYLAN PHARMACEUTICALS INC | NEPHRON PHARMACEUTICALS CORPORATION | SOMERSET THERAPEUTICS LLC | STRIDES PHARMA INTERNATIONAL AG | WATSON LABORATORIES INC | ZYDUS LIFESCIENCES GLOBAL FZE | ZYDUS PHARMACEUTICALS USA INC
CARVEDILOL,CARVEDILOL | COREG,Cardiovascular,CHRONIC,TABLET;ORAL,1995-09-14,2009-12-22,1,10,40,0,,,No,,,AUROBINDO PHARMA LTD | CHARTWELL MOLECULAR HOLDINGS LLC | GLENMARK PHARMACEUTICALS LTD | MLV PHARMA LLC | REGCON HOLDINGS LLC | RISING PHARMA HOLDINGS INC | RUBICON RESEARCH LTD | SANDOZ INC | TEVA PHARMACEUTICALS USA INC | WAYLIS THERAPEUTICS LLC | ZYDUS PHARMACEUTICALS USA INC
RANOLAZINE,RANOLAZINE,Cardiovascular,CHRONIC,"TABLET, EXTENDED RELEASE;ORAL",2013-07-29,2025-04-15,0,20,40,0,,,No,,,ACTAVIS ELIZABETH LLC | AJANTA PHARMA LTD | ALKEM LABORATORIES LTD | ARTHUR GROUP LLC | AUROBINDO PHARMA LTD | CADILA HEALTHCARE LTD | CHARTWELL RX SCIENCES LLC | GLENMARK PHARMACEUTICALS LTD | HETERO LABS LTD UNIT III | I3 PHARMACEUTICALS LLC | JUBILANT GENERICS LTD | MANKIND PHARMA LTD | MICRO LABS LTD | NOVAST LABORATORIES LTD | PIRAMAL HEALTHCARE UK LTD | RISING PHARMA HOLDINGS INC | SCIEGEN PHARMACEUTICALS INC | SUNSHINE LAKE PHARMA CO LTD | UNICHEM LABORATORIES LTD | VKT PHARMA PRIVATE LTD
BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE | LOTENSIN,Cardiovascular,CHRONIC,TABLET;ORAL,1991-06-25,2008-05-23,1,10,39,0,,,No,,,AMNEAL PHARMACEUTICALS OF NEW YORK LLC | ANI PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | COREPHARMA LLC | HERITAGE PHARMA LABS INC | PRINSTON PHARMACEUTICAL INC | SUN PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA INC | VALIDUS PHARMACEUTICALS LLC | ZYDUS LIFESCIENCES LTD
NIFEDIPINE,NIFEDIPINE | PROCARDIA XL,Cardiovascular,CHRONIC,"CAPSULE;ORAL | TABLET, EXTENDED RELEASE;ORAL",1989-09-06,2022-11-18,1,18,39,0,,,No,,,ACELLA PHARMACEUTICALS LLC | ACTAVIS ELIZABETH LLC | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AUROBINDO PHARMA LTD | ELITE PHARMACEUTICAL SOLUTION INC | HERITAGE PHARMA LABS INC | NOVAST LABORATORIES LTD | OSMOTICA PHARMACEUTICAL US LLC | PFIZER LABORATORIES DIV PFIZER INC | TWI PHARMACEUTICALS INC | VALEANT PHARMACEUTICALS NORTH AMERICA LLC | VELZEN PHARMA PVT LTD | ZYDUS PHARMACEUTICALS USA INC
HYDRALAZINE HYDROCHLORIDE,HYDRALAZINE HYDROCHLORIDE,Cardiovascular,CHRONIC,INJECTABLE;INJECTION | TABLET;ORAL,1984-05-01,2025-07-17,0,19,38,0,,,No,,,ALKEM LABORATORIES LTD | AMERICAN REGENT INC | BAXTER HEALTHCARE CORP | CADILA PHARMACEUTICALS LTD | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | GLENMARK PHARMACEUTICALS LTD | HERITAGE PHARMACEUTICALS INC | HETERO LABS LTD UNIT III | HIKMA PHARMACEUTICALS USA INC | KINDOS PHARMACEUTICALS CO LTD | NAVINTA LLC | PLIVA INC | RISING PHARMA HOLDINGS INC | SCIEGEN PHARMACEUTICALS INC | STRIDES PHARMA GLOBAL PTE LTD
AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL,AMLODIPINE AND OLMESARTAN MEDOXOMIL | AZOR,Cardiovascular,CHRONIC,TABLET;ORAL,2007-09-26,2025-02-14,1,9,36,0,,,No,,,AJANTA PHARMA LTD | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AUROBINDO PHARMA LTD | COSETTE PHARMACEUTICALS INC | HETERO LABS LTD UNIT V | MACLEODS PHARMACEUTICALS LTD | MICRO LABS LTD | SCIEGEN PHARMACEUTICALS INC | ZYDUS PHARMACEUTICALS USA INC
DOXAZOSIN MESYLATE,CARDURA | CARDURA XL | DOXAZOSIN MESYLATE,Cardiovascular,CHRONIC,"TABLET, EXTENDED RELEASE;ORAL | TABLET;ORAL",1990-11-02,2024-01-10,2,9,36,0,,,No,,,ACCORD HEALTHCARE INC | APOTEX INC | AUROBINDO PHARMA USA INC | HERITAGE PHARMA LABS INC | RISING PHARMA HOLDINGS INC | SOMERSET THERAPEUTICS LLC | TEVA PHARMACEUTICALS USA INC | UNICHEM LABORATORIES LTD | VIATRIS SPECIALTY LLC | ZYDUS PHARMACEUTICALS USA INC
HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,BENICAR HCT | OLMESARTAN MEDOXOMIL AND HYDROCHLOROTHIAZIDE,Cardiovascular,CHRONIC,TABLET;ORAL,2003-06-05,2026-04-13,1,12,36,0,,,No,,,ACCORD HEALTHCARE INC | ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | AUROBINDO PHARMA LTD | COSETTE PHARMACEUTICALS INC | HANGZHOU MINSHENG BINJIANG PHARMACEUTICAL CO LTD | HETERO LABS LTD UNIT V | MACLEODS PHARMACEUTICALS LTD | MICRO LABS LTD | MSN LABORATORIES PRIVATE LTD | PRINSTON PHARMACEUTICAL INC | SCIEGEN PHARMACEUTICALS INC | UMEDICA LABORATORIES PRIVATE LTD
MIDODRINE HYDROCHLORIDE,MIDODRINE HYDROCHLORIDE | ORVATEN,Cardiovascular,CHRONIC,TABLET;ORAL,2003-09-10,2023-11-01,0,12,36,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | APOTEX INC | AUROBINDO PHARMA LTD | BEIJING YILING BIO-ENGINEERING TECHNOLOGY CO LTD | MANKIND PHARMA LTD | MYLAN PHARMACEUTICALS INC | NOVUGEN PHARMA MALAYSIA SDN BHD | PH HEALTH LTD | RUBICON RESEARCH LTD | UNIQUE PHARMACEUTICAL LABORATORIES A DIV OF JB CHEMICALS AND PHARMACEUTICALS LTD | XIROMED PHARMA ESPANA SL | ZYDUS LIFESCIENCES GLOBAL FZE
HYDROCHLOROTHIAZIDE; VALSARTAN,DIOVAN HCT | VALSARTAN AND HYDROCHLOROTHIAZIDE,Cardiovascular,CHRONIC,TABLET;ORAL,1998-03-06,2026-04-23,1,7,35,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS OF NEW YORK LLC | AUROBINDO PHARMA LTD | MACLEODS PHARMACEUTICALS LTD | MYLAN PHARMACEUTICALS INC | NOVARTIS PHARMACEUTICALS CORP | PRINSTON PHARMACEUTICAL INC | SCIEGEN PHARMACEUTICALS INC
METOPROLOL TARTRATE,LOPRESSOR | METOPROLOL TARTRATE,Cardiovascular,CHRONIC,INJECTABLE;INJECTION | SOLUTION;ORAL | TABLET;ORAL,1995-04-27,2025-08-28,3,15,35,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | BAXTER HEALTHCARE CORP | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | HIKMA FARMACEUTICA (PORTUGAL) SA | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | IPCA LABORATORIES LTD | MYLAN PHARMACEUTICALS INC | RENATA PLC | RUBICON RESEARCH LTD | SANDOZ INC | SCIEGEN PHARMACEUTICALS INC | SUN PHARMACEUTICAL INDUSTRIES INC | VALIDUS PHARMACEUTICALS LLC | XTM CONSULTING LLC
PROPAFENONE HYDROCHLORIDE,PROPAFENONE HYDROCHLORIDE,Cardiovascular,CHRONIC,"CAPSULE, EXTENDED RELEASE;ORAL | TABLET;ORAL",2000-10-24,2023-02-21,0,12,35,0,,,No,,,ANI PHARMACEUTICALS INC | AUROBINDO PHARMA LTD | GLENMARK PHARMACEUTICALS LTD | RISING PHARMA HOLDINGS INC | SINOTHERAPEUTICS INC | STRIDES PHARMA INTERNATIONAL AG | UPSHER SMITH LABORATORIES LLC | WATSON LABORATORIES | WATSON LABORATORIES INC | ZYDUS LIFESCIENCES GLOBAL FZE
TICAGRELOR,BRILINTA | TICAGRELOR,Cardiovascular,CHRONIC,TABLET;ORAL,2011-07-20,2026-04-27,1,19,34,4,2036-07-27,2036,No,,,ALEMBIC PHARMACEUTICALS LTD | ALKEM LABORATORIES LTD | APOTEX INC | ASTRAZENECA PHARMACEUTICALS LP | CHANGZHOU PHARMACEUTICAL FACTORY | DR REDDYS LABORATORIES LTD | HISUN PHARMACEUTICAL HANGZHOU CO LTD | INVAGEN PHARMACEUTICALS INC | MACLEODS PHARMACEUTICALS LTD | MANKIND PHARMA LTD | MICRO LABS LTD | MSN LABORATORIES PRIVATE LTD | MYLAN PHARMACEUTICALS INC | PRINSTON PHARMACEUTICAL INC | SCIEGEN PHARMACEUTICALS INC | SUNSHINE LAKE PHARMA CO LTD | TARO PHARMACEUTICAL INDUSTRIES LTD | WATSON LABORATORIES INC | ZHEJIANG JINGXIN PHARMACEUTICAL CO LTD
TIMOLOL MALEATE,ISTALOL | TIMOLOL MALEATE | TIMOPTIC | TIMOPTIC IN OCUDOSE | TIMOPTIC-XE,Cardiovascular,CHRONIC,"SOLUTION, GEL FORMING/DROPS;OPHTHALMIC | SOLUTION/DROPS;OPHTHALMIC | TABLET;ORAL",1986-11-05,2024-09-16,5,22,34,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | AMRING PHARMACEUTICALS INC | BAUSCH AND LOMB INC | CAPLIN STERILES LTD | DR REDDYS LABORATORIES LTD | EPIC PHARMA LLC | EUGIA PHARMA SPECIALITIES LTD | FDC LTD | GLAND PHARMA LTD | INGENUS PHARMACEUTICALS LLC | MANKIND PHARMA LTD | MICRO LABS LTD | MYLAN PHARMACEUTICALS INC | PACIFIC PHARMA | PACIFIC PHARMA INC | RISING PHARMA HOLDINGS INC | SANDOZ INC | SENTISS PHARMA PRIVATE LTD | SOMERSET THERAPEUTICS LLC
ENALAPRIL MALEATE,ENALAPRIL MALEATE | EPANED | VASOTEC,Cardiovascular,CHRONIC,SOLUTION;ORAL | TABLET;ORAL,1985-12-24,2024-09-19,2,13,33,9,2036-03-25,2036,No,,,AIPING PHARMACEUTICAL INC | ALKEM LABORATORIES LTD | AMNEAL PHARMACEUTICALS LLC | ANNORA PHARMA PRIVATE LTD | AUROBINDO PHARMA LTD | AZURITY PHARMACEUTICALS INC | BAUSCH HEALTH US LLC | BIONPHARMA INC | HERITAGE PHARMA LABS INC | PRINSTON PHARMACEUTICAL INC | SANDOZ INC | SENORES PHARMACEUTICALS INC | TARO PHARMACEUTICAL INDUSTRIES LTD | UNIQUE PHARMACEUTICAL LABORATORIES
FUROSEMIDE,FUROSCIX | FUROSEMIDE | LASIX ONYU,Cardiovascular,CHRONIC,INJECTABLE;INJECTION | SOLUTION;ORAL | SOLUTION;SUBCUTANEOUS | TABLET;ORAL,1982-05-28,2026-01-08,8,23,33,4,2034-04-03,2034,No,,,ACCORD HEALTHCARE INC | AMNEAL PHARMACEUTICALS CO GMBH | APOTEX INC | AREVA PHARMACEUTICALS INC | ASPIRO PHARMA LTD | AUROBINDO PHARMA LTD | AVET LIFESCIENCES LTD | BAXTER HEALTHCARE CORP | EPIC PHARMA LLC | ESJAY PHARMA LLC | EUGIA PHARMA SPECIALITIES LTD | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | GRAVITI PHARMACEUTICALS PRIVATE LTD | HIKMA PHARMACEUTICALS USA INC | HOSPIRA INC | IPCA LABORATORIES LTD | LEADING PHARMA LLC | MANKIND PHARMA LTD | MEITHEAL PHARMACEUTICALS INC | MICRO LABS LTD | PRINSTON PHARMACEUTICAL INC | SABA ILAC SANAYIVE TICARET AS | SAGENT PHARMACEUTICALS | SCPHARMACEUTICALS INC | SQ INNOVATION INC
AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,"OLMESARTAN MEDOXOMIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE | TRIBENZOR",Cardiovascular,CHRONIC,TABLET;ORAL,2010-07-23,2025-11-24,1,7,32,0,,,No,,,COSETTE PHARMACEUTICALS INC | HETERO LABS LTD UNIT V | MACLEODS PHARMACEUTICALS LTD | MICRO LABS LTD | PH HEALTH LTD | PIRAMAL HEALTHCARE UK LTD | TEVA PHARMACEUTICALS USA | TORRENT PHARMACEUTICALS LTD
HYDROCHLOROTHIAZIDE; LOSARTAN POTASSIUM,HYZAAR | LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,Cardiovascular,CHRONIC,TABLET;ORAL,1995-04-28,2026-05-27,1,11,32,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | HETERO LABS LTD UNIT V | JUBILANT CADISTA PHARMACEUTICALS INC | LUPIN LTD | MACLEODS PHARMACEUTICALS LTD | ORGANON LLC A SUB OF ORGANON AND CO | PRINSTON PHARMACEUTICAL INC | TEVA PHARMACEUTICALS USA | UNICHEM LABORATORIES LTD | ZYDUS PHARMACEUTICALS USA INC
SPIRONOLACTONE,ALDACTONE | CAROSPIR | SPIRONOLACTONE,Cardiovascular,CHRONIC,SUSPENSION;ORAL | TABLET;ORAL,1982-12-30,2025-07-25,2,12,32,8,2036-10-28,2036,No,,,ACCORD HEALTHCARE INC | AMNEAL PHARMACEUTICALS LLC | AMNEAL PHARMACEUTICALS OF NEW YORK LLC | ANNORA PHARMA PRIVATE LTD | AUROBINDO PHARMA LTD | CMP DEVELOPMENT LLC | GRAVITI PHARMACEUTICALS PRIVATE LTD | HETERO LABS LTD UNIT III | JUBILANT GENERICS LTD | MYLAN PHARMACEUTICALS INC | OXFORD PHARMACEUTICALS LLC | PFIZER INC | SUN PHARMACEUTICAL INDUSTRIES INC | ZYDUS PHARMACEUTICALS USA INC
RAMIPRIL,RAMIPRIL,Cardiovascular,CHRONIC,CAPSULE;ORAL,2005-10-24,2011-06-08,0,8,31,0,,,No,,,AUROBINDO PHARMA LTD | CHARTWELL MOLECULAR HOLDINGS LLC | COREPHARMA LLC | HIKMA PHARMACEUTICALS USA INC | LUPIN LTD | SENORES PHARMACEUTICALS INC | WATSON LABORATORIES INC | ZYDUS PHARMACEUTICALS USA INC
SOTALOL HYDROCHLORIDE,BETAPACE | BETAPACE AF | SORINE | SOTALOL HYDROCHLORIDE | SOTYLIZE,Cardiovascular,CHRONIC,SOLUTION;INTRAVENOUS | SOLUTION;ORAL | TABLET;ORAL,1992-10-30,2018-11-02,4,9,31,12,2039-08-21,2039,No,,,AIPING PHARMACEUTICAL INC | ALTATHERA PHARMACEUTICALS LLC | APOTEX INC | AUROBINDO PHARMA USA INC | AZURITY PHARMACEUTICALS INC | EPIC PHARMA LLC | LEGACY PHARMA INC | OXFORD PHARMACEUTICALS LLC | REGCON HOLDINGS LLC | TEVA PHARMACEUTICALS USA INC
AMLODIPINE BESYLATE; BENAZEPRIL HYDROCHLORIDE,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,Cardiovascular,CHRONIC,CAPSULE;ORAL,2010-02-05,2013-12-30,0,7,30,0,,,No,,,AUROBINDO PHARMA LTD | DR REDDYS LABORATORIES INC | HERITAGE PHARMACEUTICALS INC DBA AVET PHARMACEUTICALS INC | LUPIN PHARMACEUTICALS INC | WATSON LABORATORIES INC
METOLAZONE,METOLAZONE,Cardiovascular,CHRONIC,TABLET;ORAL,2003-12-19,2024-11-06,0,11,30,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | INNOGENIX LLC | IXORA LIFESCIENCE LLP | MICRO LABS LTD | MYLAN PHARMACEUTICALS INC | NE RX PHARMA LLC | RENATA PLC | RUBICON RESEARCH LTD | SANDOZ INC | UNICHEM LABORATORIES LTD
NADOLOL,NADOLOL,Cardiovascular,CHRONIC,TABLET;ORAL,1993-10-31,2023-06-02,0,10,30,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | AMNEAL PHARMACEUTICALS CO GMBH | AUROBINDO PHARMA LTD | CHARTWELL RX SCIENCES LLC | INVAGEN PHARMACEUTICALS INC | REGCON HOLDINGS LLC | RISING PHARMA HOLDINGS INC | RK PHARMA INC | SANDOZ INC | ZYDUS PHARMACEUTICALS USA INC
AMLODIPINE BESYLATE; VALSARTAN,AMLODIPINE BESYLATE AND VALSARTAN | EXFORGE,Cardiovascular,CHRONIC,TABLET;ORAL,2007-06-20,2024-10-11,1,7,28,0,,,No,,,ALEMBIC PHARMACEUTICALS LTD | AUROBINDO PHARMA LTD | HETERO LABS LTD | MACLEODS PHARMACEUTICALS LTD | MYLAN PHARMACEUTICALS INC | NOVARTIS PHARMACEUTICALS CORP | NOVEL LABORATORIES INC | STRIDES PHARMA INTERNATIONAL AG
CAPTOPRIL,CAPTOPRIL,Cardiovascular,CHRONIC,TABLET;ORAL,1996-02-13,2023-01-27,0,7,28,0,,,No,,,AIPING PHARMACEUTICAL INC | AJANTA PHARMA LTD | ANDAS 5 HOLDING LLC | COREPHARMA LLC | HIKMA INTERNATIONAL PHARMACEUTICALS LLC | PRINSTON PHARMACEUTICAL INC | WOCKHARDT BIO AG
TORSEMIDE,SOAANZ | TORSEMIDE,Cardiovascular,CHRONIC,TABLET;ORAL,2003-05-27,2026-05-01,1,8,28,0,,,No,,,AUROBINDO PHARMA LTD | COREPHARMA LLC | HETERO LABS LTD UNIT III | HIKMA PHARMACEUTICALS USA INC | MICRO LABS LTD | PLIVA PHARMACEUTICAL INDUSTRY INC | SARFEZ PHARMACEUTICALS INC | STRIDES PHARMA INTERNATIONAL AG
AMIODARONE HYDROCHLORIDE,AMIODARONE HYDROCHLORIDE | NEXTERONE | PACERONE,Cardiovascular,CHRONIC,INJECTABLE;INJECTION | TABLET;ORAL,1998-04-30,2024-09-11,1,16,27,7,2033-02-27,2033,No,,,ACELLA PHARMACEUTICALS LLC | AUROBINDO PHARMA LTD | BAXTER HEALTHCARE CORP | CHARTWELL RX SCIENCES LLC | DR REDDYS LABORATORIES SA | FRESENIUS KABI USA LLC | GLAND PHARMA LTD | HIKMA FARMACEUTICA (PORTUGAL) SA | MYLAN INSTITUTIONAL LLC | RUBICON RESEARCH LTD | TARO PHARMACEUTICAL INDUSTRIES LTD | TEVA PHARMACEUTICALS USA | UNICHEM LABORATORIES LTD | UPSHER SMITH LABORATORIES LLC | ZHEJIANG POLY PHARM CO LTD | ZYDUS PHARMACEUTICALS USA INC
ATENOLOL,ATENOLOL | TENORMIN,Cardiovascular,CHRONIC,TABLET;ORAL,1988-07-15,2019-11-21,1,9,27,0,,,No,,,AIPING PHARMACEUTICAL INC | AUROBINDO PHARMA LTD | IPCA LABORATORIES LTD | MYLAN PHARMACEUTICALS INC | PHARMOBEDIENT CONSULTING LLC | TEVA PHARMACEUTICALS USA INC | TWI PHARMACEUTICALS INC | UNICHEM LABORATORIES LTD | UNIQUE PHARMACEUTICAL LABORATORIES A DIV OF JB CHEMICALS AND PHARMACEUTICALS LTD | ZYDUS PHARMACEUTICALS USA INC
BISOPROLOL FUMARATE; HYDROCHLOROTHIAZIDE,BISOPROLOL FUMARATE AND HYDROCHLOROTHIAZIDE | ZIAC,Cardiovascular,CHRONIC,TABLET;ORAL,1993-03-26,2026-03-24,1,9,27,0,,,No,,,AUROBINDO PHARMA LTD | CADILA HEALTHCARE LTD | EDENBRIDGE PHARMACEUTICALS LLC | EPIC PHARMA LLC | GLENMARK PHARMACEUTICALS LTD | MYLAN PHARMACEUTICALS INC | NOVITIUM PHARMA LLC | TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D LLC | UNICHEM LABORATORIES LTD | UNIQUE PHARMACEUTICAL LABORATORIES
FELODIPINE,FELODIPINE,Cardiovascular,CHRONIC,"TABLET, EXTENDED RELEASE;ORAL",2010-12-17,2019-04-29,0,9,27,0,,,No,,,AUROBINDO PHARMA LTD | GLENMARK PHARMACEUTICALS LTD | HERITAGE PHARMACEUTICALS INC DBA AVET PHARMACEUTICALS INC | ORBION PHARMACEUTICALS PRIVATE LTD | PH HEALTH LTD | SUN PHARMACEUTICAL INDUSTRIES LTD | TORRENT PHARMACEUTICALS LTD | YILING PHARMACEUTICAL LTD | YUNG SHIN PHARMACEUTICAL INDUSTRIAL CO LTD
